"id","alias","file","ok","skipped","issue","error","load_ok","params_ok","yaml_ok","packages","params","extra_yaml","missing_docs","coverage_gaps_atomic","coverage_gaps"
"italian_village_bayes","9.3","italian_village_bayes.R",FALSE,FALSE,"missing_packages","Design 'italian_village_bayes' needs packages not installed: rstanarm",FALSE,FALSE,FALSE,"rdss, rstanarm","","","","",""
"process_tracing","16.1b","process_tracing.R",FALSE,FALSE,"missing_packages","Design 'process_tracing' needs packages not installed: CausalQueries",FALSE,FALSE,FALSE,"rdss, CausalQueries","","","","",""
"audit_experiment","17.1","audit_experiment.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","N","","","",""
"audit_intervention","17.2","audit_intervention.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","N","","","",""
"baseline_over_N","11.1","baseline_over_N.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"broom","N","","","",""
"blocked_and_clustered","18.5","blocked_and_clustered.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","ICC, N_clusters","","","",""
"bootstrapped","9.5","bootstrapped.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss","","","","",""
"cluster_random_sampling","15.3","cluster_random_sampling.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","budget_function, se_type, ICC, state_mean, cluster_prob, locality_shock, individual_shock","","","",""
"conditional_expectation","11.4","conditional_expectation.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"purrr, tibble, dplyr, tidyr, stringr","dip, x_range, N, polynomial_degrees","","","",""
"conjoint","17.5","conjoint.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, cjoint, dplyr, purrr","conjoint_utility, N_subjects, N_tasks","","","","levels_list"
"covariate_adjustment","18.2","covariate_adjustment.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, r_sq, prob","","","",""
"declaration_using_declare","10.1","declaration_using_declare.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N","","","",""
"design_10_2","10.2","design_10_2.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N","","","",""
"design_10_4","10.4","design_10_4.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","effect_size, N","","","",""
"diff_in_diff","16.3","diff_in_diff.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, DIDmultiplegt, dplyr","N_units, N_time_periods","","","",""
"encouragement","18.8","encouragement.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","N, share_always_takers, share_never_takers, share_compliers, share_defiers","","","",""
"example_declaration","5.1","example_declaration.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N","","","",""
"factorial_2x2","18.7","factorial_2x2.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","CATE_Z1_Z2_0, CATE_Z2_Z1_0, interaction, N","","","",""
